id,sentiment
"3630_4",0
"9495_8",0
"8196_8",0
"3951_2",0
"3304_10",1
"10492_1",1
"6827_4",0
"7897_8",0
"12106_10",1
"11427_1",0
"9897_10",1
"9569_9",0
"5983_8",1
"2399_7",1
"8437_3",1
"2681_3",1
"11724_8",1
"11464_1",0
"10018_8",1
"4414_9",1
"7068_8",1
"1033_4",0
"475_1",0
"4886_1",0
"12349_4",0
"5169_7",1
"8125_7",0
"11220_10",1
"4056_4",0
"3027_8",0
"2326_8",1
"11211_8",1
"12322_10",1
"10464_1",0
"8473_8",1
"5514_4",1
"8158_2",0
"5225_4",0
"6147_1",0
"9219_2",0
"8807_9",1
"2072_10",1
"11127_9",1
"5280_8",1
"725_2",0
"3209_1",0
"10091_1",0
"3617_2",0
"6921_1",0
"5290_3",0
"3391_3",1
"8551_4",0
"4625_10",1
"12368_3",0
"8931_4",0
"7730_7",1
"4543_7",0
"3749_1",0
"9144_1",0
"365_1",0
"8824_8",0
"11228_10",1
"8613_7",1
"4451_9",0
"3759_1",0
"60_4",0
"418_4",0
"6645_1",0
"12274_3",0
"11095_7",1
"1789_3",1
"5320_2",0
"7481_1",0
"11420_9",1
"9845_3",0
"6662_1",0
"4759_2",1
"253_7",1
"5162_9",1
"8075_1",0
"4170_1",0
"12058_4",0
"1472_1",0
"10119_2",0
"5844_8",1
"9885_4",0
"9731_8",1
"8381_8",1
"1757_8",1
"424_8",1
"8370_10",1
"4217_9",0
"4507_3",0
"10264_4",1
"9855_2",0
"51_1",0
"9114_1",0
"5054_1",0
"7957_10",1
"7328_2",0
"4134_7",1
"3044_1",1
"669_7",0
"5363_1",0
"8855_10",1
"1664_4",1
"8102_1",0
"10914_8",1
"2366_7",1
"1116_9",1
"8361_4",0
"6487_1",0
"6908_2",0
"1615_8",1
"1201_8",1
"10828_1",0
"2268_1",0
"8031_1",0
"211_4",0
"3178_4",0
"12481_8",1
"9695_1",0
"7934_3",0
"2901_7",1
"2646_10",0
"3248_10",0
"3377_2",0
"12246_9",1
"7224_3",0
"10693_4",0
"7564_1",0
"7894_10",1
"7252_4",0
"4386_9",1
"11666_10",1
"10343_3",0
"2025_1",0
"4276_4",0
"2080_9",1
"7260_1",0
"1177_1",0
"3086_1",0
"603_1",0
"12005_10",1
"3212_3",0
"1029_3",0
"10768_7",1
"8234_7",1
"7550_1",0
"8779_4",0
"1241_7",1
"4532_7",1
"8639_3",1
"5750_8",1
"11473_4",1
"4158_10",1
"11194_10",0
"3162_8",0
"11982_7",1
"10868_8",1
"9793_1",0
"1962_2",0
"6157_2",0
"8075_8",1
"4254_2",0
"9580_3",1
"8693_10",1
"7563_1",0
"7734_10",0
"5462_8",1
"10738_4",0
"5447_4",0
"5548_7",1
"11023_9",1
"6601_4",1
"9752_10",1
"5233_4",0
"2847_8",1
"2909_10",1
"11655_3",0
"7586_10",1
"6308_1",0
"6037_10",1
"4870_10",1
"960_1",0
"2718_9",1
"7005_4",1
"1210_1",0
"10587_1",0
"11256_1",0
"1507_8",1
"1441_2",0
"6210_1",0
"3047_7",1
"5039_3",0
"5532_2",0
"3098_1",0
"6785_1",0
"11286_1",0
"7423_9",0
"4015_1",0
"4408_8",1
"9741_1",0
"10013_1",0
"10666_8",1
"1712_9",1
"2394_3",0
"8109_2",1
"10747_10",1
"1056_3",1
"12318_9",1
"839_7",0
"11445_7",1
"599_4",0
"202_10",1
"2775_1",0
"4974_2",0
"10631_1",0
"1938_9",0
"11330_8",1
"5530_8",1
"7737_10",1
"9204_1",0
"96_10",1
"8736_3",0
"3414_8",1
"11353_1",1
"11687_10",1
"5898_4",1
"3913_1",1
"376_10",1
"5365_10",1
"10020_3",0
"6138_8",1
"10183_7",1
"5499_1",0
"1452_1",0
"2414_3",0
"8646_1",0
"899_7",0
"5081_4",0
"9282_8",1
"2304_1",0
"146_10",1
"8492_1",0
"11576_7",1
"7057_1",0
"11276_10",1
"9899_7",1
"1433_10",1
"2548_1",0
"1338_3",1
"4021_1",0
"7440_1",0
"9524_3",0
"8154_10",0
"717_7",1
"7296_10",0
"5020_10",1
"5108_10",0
"831_9",1
"8747_3",1
"8184_7",1
"4112_1",0
"1659_7",1
"2789_7",1
"4412_9",1
"10079_8",1
"2519_10",1
"2597_3",0
"8518_10",1
"1127_4",0
"7119_10",1
"11962_7",1
"6305_10",1
"4886_8",1
"6400_3",0
"6531_8",0
"9304_1",0
"8284_8",1
"1180_4",0
"5421_4",0
"216_4",0
"10209_3",0
"11263_10",1
"7568_10",1
"9875_7",1
"11854_7",0
"9396_9",1
"9139_8",1
"11451_8",1
"10696_3",0
"8822_10",0
"11287_3",0
"641_8",1
"4685_7",1
"10405_8",1
"3432_8",1
"10099_10",0
"304_4",1
"11084_10",1
"11368_1",1
"10012_1",0
"9080_3",1
"2411_9",1
"4854_1",0
"732_1",0
"3659_3",0
"2058_1",0
"7152_9",1
"6586_10",1
"8582_1",1
"6962_1",0
"9991_4",1
"4889_10",1
"10993_10",1
"5235_1",0
"7667_7",1
"3976_1",0
"9651_9",0
"10269_7",1
"4250_3",0
"4552_9",1
"608_8",1
"888_8",0
"5364_3",0
"7651_1",0
"10548_3",0
"4893_10",1
"11017_4",0
"3815_7",1
"11044_7",1
"6791_10",1
"7533_3",1
"6394_1",0
"8055_3",0
"10500_10",1
"4881_9",1
"1994_2",0
"2712_2",0
"4168_4",0
"6003_2",0
"11072_8",1
"10523_2",0
"10903_10",1
"7217_1",0
"12059_9",1
"11097_2",1
"8330_1",0
"10152_9",1
"139_4",0
"6700_1",1
"7374_10",1
"8831_4",0
"3052_10",1
"11307_1",0
"7652_3",0
"12377_10",1
"12087_1",0
"9517_10",1
